Unnamed: 0.1,Unnamed: 0,Text,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,0, Enjoying a beautiful day at the park!              ,2023-01-15 12:30:00, User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,2023,1,15,12
1,1, Traffic was terrible this morning.                 ,2023-01-15 08:45:00, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,2023,1,15,8
2,2, Just finished an amazing workout! ??               ,2023-01-15 15:45:00, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15
3,3, Excited about the upcoming weekend getaway!        ,2023-01-15 18:20:00, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18
4,4, Trying out a new recipe for dinner tonight.        ,2023-01-15 19:55:00, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19
5,5, Feeling grateful for the little things in life.    ,2023-01-16 09:10:00, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9
6,6, Rainy days call for cozy blankets and hot cocoa.   ,2023-01-16 14:45:00, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14
7,7, The new movie release is a must-watch!             ,2023-01-16 19:30:00, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19
8,8, Political discussions heating up on the timeline.  ,2023-01-17 08:00:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,2023,1,17,8
9,9, Missing summer vibes and beach days.               ,2023-01-17 12:20:00, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,2023,1,17,12
10,10, Just published a new blog post. Check it out!      ,2023-01-17 15:15:00, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15
11,11, Feeling a bit under the weather today.             ,2023-01-18 10:30:00, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,2023,1,18,10
12,12, Exploring the city's hidden gems.                  ,2023-01-18 14:50:00, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,2023,1,18,14
13,13," New year, new fitness goals! ??                    ",2023-01-18 18:00:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18
14,14, Technology is changing the way we live.            ,2023-01-19 09:45:00, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    ,2023,1,19,9
15,15, Reflecting on the past and looking ahead.          ,2023-01-19 13:20:00, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,2023,1,19,13
16,16, Just adopted a cute furry friend! ??              ,2023-01-19 17:10:00, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17
17,17, Late-night gaming session with friends.            ,2023-01-20 00:05:00, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,2023,1,20,0
18,18, Attending a virtual conference on AI.              ,2023-01-20 11:30:00, TechConference, Facebook , #AI #TechConference                     ,25,50,USA,2023,1,20,11
19,19, Winter blues got me feeling low.                   ,2023-01-20 15:15:00, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,2023,1,20,15
20,20, Sipping coffee and enjoying a good book.           ,2023-01-21 08:40:00, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    ,2023,1,21,8
21,21, Exploring the world of virtual reality.            ,2023-01-21 13:20:00, VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA,2023,1,21,13
22,22, Productive day ticking off my to-do list.          ,2023-01-21 16:45:00, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,2023,1,21,16
23,23, Just finished a challenging workout routine.       ,2023-01-22 09:15:00, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20,40, UK       ,2023,1,22,9
24,24, Celebrating a milestone at work! ??               ,2023-01-22 14:30:00, CareerMilestone, Facebook , #Career #Milestone                      ,12,25, Canada  ,2023,1,22,14
25,25, Sunday brunch with friends.                        ,2023-01-22 12:00:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,2023,1,22,12
27,28, Learning a new language for personal growth.       ,2023-01-23 16:20:00, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25,50, India     ,2023,1,23,16
28,29, Quiet evening with a good book.                    ,2023-01-23 19:45:00, BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia ,2023,1,23,19
29,30, Reflecting on the importance of mental health.     ,2023-01-24 11:30:00, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22,45, USA      ,2023,1,24,11
30,31, New painting in progress! ??                       ,2023-01-24 15:00:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12,25, Canada ,2023,1,24,15
31,32, Weekend road trip to explore scenic views.         ,2023-01-24 17:30:00, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,2023,1,24,17
32,33, Enjoying a cup of tea and watching the sunset.     ,2023-01-25 18:00:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15,30, India    ,2023,1,25,18
